region,year,mean,sdev
BDI,2000-2019,-2.4780438720216656e-06,2.3162824271754066e-06
TUN,2000-2019,3.1602453473404259e-07,2.2696775039209521e-06
GMB,2000-2019,1.0406454327570949e-06,2.2979918428754663e-06
DMA,2000-2019,-1.9989143326629663e-06,2.6869900565461514e-06
IRN,2000-2019,3.396675683802911e-06,3.9739751787251474e-06
BWA,2000-2019,-3.5052490880965805e-06,4.1097482635729797e-06
NGA,2000-2019,1.0841470045190876e-06,2.0971338835260477e-06
NOR,2000-2019,1.2145849971413741e-05,1.1515178809995933e-05
TGO,2000-2019,1.3827062587535825e-06,1.9822681241837579e-06
CHN,2000-2019,2.9438159954361989e-06,2.82365798138207e-06
BGR,2000-2019,6.2032461350548813e-06,5.8870616612174322e-06
LVA,2000-2019,1.1117052603491809e-05,1.1871738611515459e-05
FUND-USA,2000-2019,2.9287350227175621e-06,3.0239041686220214e-06
TLS,2000-2019,-2.2928837257181422e-07,1.506888238028685e-06
SP-,2000-2019,nan,nan
RUS,2000-2019,1.6810020021736954e-05,1.520532341184029e-05
GUM,2000-2019,-1.1410258959486191e-06,3.2819121130563604e-06
BHR,2000-2019,-5.0593362594725643e-06,6.2783386805598246e-06
DNK,2000-2019,6.7617990153949271e-06,7.9350829110939072e-06
GNQ,2000-2019,-6.3670813566513363e-06,4.2172822471214187e-06
VUT,2000-2019,-2.3063463766582822e-06,2.155128990094807e-06
HRV,2000-2019,5.8855306391150827e-06,5.078278694352825e-06
CYP,2000-2019,-1.726743160434883e-06,3.5103251539935423e-06
GBR,2000-2019,5.2786338428781643e-06,5.1425147772490929e-06
FUND-CHI,2000-2019,2.9467712929953369e-06,2.8439083033844222e-06
CPV,2000-2019,-1.4292971564894058e-06,2.5543123001634909e-06
LBR,2000-2019,-2.4432642869627313e-07,1.3205115557316408e-06
SDN,2000-2019,4.9051217395347607e-06,5.003271853653609e-06
GAB,2000-2019,-3.4634840509226242e-06,3.5508805287799406e-06
CAF,2000-2019,2.2890425830988627e-07,1.6801712169125728e-06
ZMB,2000-2019,-2.2838514476313716e-06,2.3822777237163695e-06
LUX,2000-2019,7.0856564390260495e-06,5.9168033981720312e-06
SRB,2000-2019,4.9643053129692393e-06,5.0569294401041333e-06
ROU,2000-2019,7.3640932945090126e-06,6.1755996990161178e-06
,2000-2019,2.332484743626521e-06,2.1238549646535247e-06
LAO,2000-2019,-2.8020290596080756e-07,1.6416268920326174e-06
FJI,2000-2019,-1.9036827211335296e-06,1.8253936766842375e-06
FUND-#N/A,2000-2019,nan,nan
ECU,2000-2019,-3.6725917345422019e-07,1.3865231017333097e-06
AGO,2000-2019,-3.0408279456999882e-06,2.2473983535223908e-06
ETH,2000-2019,-1.2796543872797541e-06,1.8826515533150051e-06
GIN,2000-2019,-2.934340035382875e-07,1.5553247230553809e-06
HTI,2000-2019,-4.232777254999777e-08,1.0465694504156799e-06
IRL,2000-2019,2.7173255668303108e-06,4.5827495622293166e-06
REU,2000-2019,-1.2893643173792369e-06,2.1721565260956527e-06
VNM,2000-2019,3.1983547431470591e-07,1.5437421516239751e-06
CAN,2000-2019,1.4547367487121095e-05,1.1847663296188345e-05
EGY,2000-2019,-3.5716826322048719e-07,2.1004184552383317e-06
CA-,2000-2019,2.5069511157490428e-06,5.4351289213432356e-06
TZA,2000-2019,-1.645220855658625e-06,1.5651601815047486e-06
KNA,2000-2019,-1.8970517215179809e-06,2.7006434337983052e-06
GRL,2000-2019,1.4161419278551182e-05,3.0901590058086397e-05
GUF,2000-2019,-2.1871724728887553e-06,3.4743334575190436e-06
BLR,2000-2019,1.2463557894504942e-05,1.089635579554548e-05
ISL,2000-2019,1.0668408009920888e-05,1.6871660466505178e-05
